Date Detected,Product Name,Old Price (EGP),New Price (EGP),Drop Amount (EGP),Product Link,Offer Status
"May 25, 2026 - 09:01 PM",Hot 60 Pro Dual Sim Sleek Black 8 8Gb Ram 256 Gb 4G Middle East Version,11350.0,11299.0,51.0,https://www.noon.com/egypt-en/hot-60-pro-dual-sim-sleek-black-8-8gb-ram-256-gb-4g-middle-east-version/N70204595V/p/?o=e28df2fd1e185a0f,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Usb C Gan Charger 30W Anker 511 Charger Nano 3 Piq 3 0 Foldable Pps Fast Charger For Iphone 15 15 Pro 14 14 Pro Max 13 Galaxy Ipad Cable Not Included Aurora,899.0,349.0,550.0,https://www.noon.com/egypt-en/usb-c-gan-charger-30w-anker-511-charger-nano-3-piq-3-0-foldable-pps-fast-charger-for-iphone-15-15-pro-14-14-pro-max-13-galaxy-ipad-cable-not-included-aurora/N70012463V/p/?o=b6f5a20d57eb581d,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Energizer Ultimate Power Bank Ue10073P 10 000Mah Capacity 22 5W Fast Charging Pd 3 0 Quick Charge Support Dual Usb Output Portable Compact Design Black,599.0,555.0,44.0,https://www.noon.com/egypt-en/energizer-ultimate-power-bank-ue10073p-10-000mah-capacity-22-5w-fast-charging-pd-3-0-quick-charge-support-dual-usb-output-portable-compact-design-black/N70278616V/p/?o=b9a12ef437ba94de,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",30000 Mah 30000 Mah Power Bank 22 5W Pd Qc3 0 Afc Jr Qp193 Black,1327.0,1272.0,55.0,https://www.noon.com/egypt-en/30000-mah-30000-mah-power-bank-22-5w-pd-qc3-0-afc-jr-qp193-black/N53415951A/p/?o=de9410aaff1ad8dc,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",R50I True Wireless Earbuds 10Mm Drivers With Big Bass 30H Playtime Ipx5 Water Resistant Ai Clear Calls With 2 Mics 22 Preset Eqs Via App Black,1332.0,769.0,563.0,https://www.noon.com/egypt-en/r50i-true-wireless-earbuds-10mm-drivers-with-big-bass-30h-playtime-ipx5-water-resistant-ai-clear-calls-with-2-mics-22-preset-eqs-via-app-black/N53409767A/p/?o=be7def16717fb68e,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Smart Tank 581 Wireless All In One Printer Print Scan Copy Print Up To 6000 Black Or 6000 Color Pages 4A8D4A Grey Black,6817.0,6499.0,318.0,https://www.noon.com/egypt-en/smart-tank-581-wireless-all-in-one-printer-print-scan-copy-print-up-to-6000-black-or-6000-color-pages-4a8d4a-grey-black/N53399135A/p/?o=a2d9d825d6094bdf,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Powerport Iii 20W Cube Usb C Adapter,499.0,317.0,182.0,https://www.noon.com/egypt-en/powerport-iii-20w-cube-usb-c-adapter/N53355498A/p/?o=e3a4731ccc82bc6b,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Freebuds Se 2 In Ear Earphones True Wireless Earbuds 40 Hour Battery Life Ip54 Water And Dust Proof Compact And Comfortable Isle Blue,2200.0,1139.0,1061.0,https://www.noon.com/egypt-en/freebuds-se-2-in-ear-earphones-true-wireless-earbuds-40-hour-battery-life-ip54-water-and-dust-proof-compact-and-comfortable-isle-blue/N53425520A/p/?o=e8e68d847ce8937f,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Fc 26 Standard Edition Ps5 Uae Version Playstation 5 Ps5,2677.0,2499.0,178.0,https://www.noon.com/egypt-en/fc-26-standard-edition-ps5-uae-version-playstation-5-ps5/N70197721V/p/?o=bba490719b4b8b3e,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Watch 6N 1 83 Hd Screen And Ai Generated Faces Anti Scratch Panda Glass Heartrate Monitor And Spo2 Up To 7 Days Usage Time Black,799.0,749.0,50.0,https://www.noon.com/egypt-en/watch-6n-1-83-hd-screen-and-ai-generated-faces-anti-scratch-panda-glass-heartrate-monitor-and-spo2-up-to-7-days-usage-time-black/N70214978V/p/?o=a69d22fa7720631c,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Anker A81E1 310 Usb C To Usb C Cable 3Ft 60W 3A Fast Charging Type C Cable For Samsung Galaxy S23 Ipad Pro 2021 Air 4 Mini 6 Macbook Pro 2020 Switch Usb 2 0 Black,146.0,140.0,6.0,https://www.noon.com/egypt-en/anker-a81e1-310-usb-c-to-usb-c-cable-3ft-60w-3a-fast-charging-type-c-cable-for-samsung-galaxy-s23-ipad-pro-2021-air-4-mini-6-macbook-pro-2020-switch-usb-2-0-black/N70287289V/p/?o=c09d5c46db20db2b,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Freebuds 7I Wireless Bluetooth Earbuds Intelligent Active Noise Cancellation 4 0 Unlimited Spatial Audio Ios And Android Stable Clear Calls Fast Charging Black,3650.0,3550.0,100.0,https://www.noon.com/egypt-en/freebuds-7i-wireless-bluetooth-earbuds-intelligent-active-noise-cancellation-4-0-unlimited-spatial-audio-ios-and-android-stable-clear-calls-fast-charging-black/N70210650V/p/?o=ec1e1e4f72f8be9d,🚨 NOON OFFER
"May 25, 2026 - 09:01 PM",Band 11 Smart Watch Enhanced Sleep Tracking Health Fitness Tracker Up To 14 Day Battery Life Ultra Slim Comfort Wear Ios Android Compatible Online Exclusive Black,2699.0,2256.0,443.0,https://www.noon.com/egypt-en/band-11-smart-watch-enhanced-sleep-tracking-health-fitness-tracker-up-to-14-day-battery-life-ultra-slim-comfort-wear-ios-android-compatible-online-exclusive-black/N70285070V/p/?o=ad315e1eba1bb62b,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Band 11 Pro Smart Watch Enhanced Sleep Tracking Health Gnss Position Fitness Tracker Up To 14 Day Battery Life Ultra Slim Comfort Wear Compatible With Ios Android Black,3999.0,3257.0,742.0,https://www.noon.com/egypt-en/band-11-pro-smart-watch-enhanced-sleep-tracking-health-gnss-position-fitness-tracker-up-to-14-day-battery-life-ultra-slim-comfort-wear-compatible-with-ios-android-black/N70285078V/p/?o=ce8b46d405e6800a,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Tapo C200 Pan Tilt 1080P Full Hd Home Security Wi Fi Camera Live View And Two Way Audio Night Vision Motion Detection Baby Monitor Microsd Card Support Works With Google Assistant And Amazon Alexa Remote Management By App,1649.0,845.0,804.0,https://www.noon.com/egypt-en/tapo-c200-pan-tilt-1080p-full-hd-home-security-wi-fi-camera-live-view-and-two-way-audio-night-vision-motion-detection-baby-monitor-microsd-card-support-works-with-google-assistant-and-amazon-alexa-remote-management-by-app/N32851984A/p/?o=a97703b1c4fd2ffd,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Band 11 Pro Smart Watch Enhanced Sleep Tracking Health Gnss Position Fitness Tracker Up To 14 Day Battery Life Ultra Slim Comfort Wear Compatible With Ios Android Green,3999.0,3397.0,602.0,https://www.noon.com/egypt-en/band-11-pro-smart-watch-enhanced-sleep-tracking-health-gnss-position-fitness-tracker-up-to-14-day-battery-life-ultra-slim-comfort-wear-compatible-with-ios-android-green/N70285076V/p/?o=a9d325220d401d6f,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Band 11 Pro Smart Watch Enhanced Sleep Tracking Health Gnss Position Fitness Tracker Up To 14 Day Battery Life Ultra Slim Comfort Wear Compatible With Ios Android Blue,3999.0,3257.0,742.0,https://www.noon.com/egypt-en/band-11-pro-smart-watch-enhanced-sleep-tracking-health-gnss-position-fitness-tracker-up-to-14-day-battery-life-ultra-slim-comfort-wear-compatible-with-ios-android-blue/N70285077V/p/?o=a4aded6b003e3a2f,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Band 10 Smartwatch Compatible With Ios Android Emotional Wellbeing Assistant Fast Charging And Robust Battery Life Comfortable Wearing Pro Level Sleep Analysis Durable Polymer Case Black,1800.0,1599.0,201.0,https://www.noon.com/egypt-en/band-10-smartwatch-compatible-with-ios-android-emotional-wellbeing-assistant-fast-charging-and-robust-battery-life-comfortable-wearing-pro-level-sleep-analysis-durable-polymer-case-black/N70151076V/p/?o=a246f7e1e39abb4e,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Jr Pbf12 Led Power Bank 12 W Usb C Pd Dual 2 4 A Usb A Outputs Led Battery Display Ultra Slim Fireproof Design Triple Device Fast Charging Black,434.0,407.0,27.0,https://www.noon.com/egypt-en/jr-pbf12-led-power-bank-12-w-usb-c-pd-dual-2-4-a-usb-a-outputs-led-battery-display-ultra-slim-fireproof-design-triple-device-fast-charging-black/N70084537V/p/?o=aad17541455ddd6e,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Watch 5 Bluetooth Call Smart Watch 2 01Inch Hd Display Fitness Watch 300 Mah Scratch Resistant Anti Explosion Tempered Glass Screen With 100 Sports Modes Blood Oxygen Heart Rate Monitor Waterproof Light Chrome Black,1399.0,1031.0,368.0,https://www.noon.com/egypt-en/watch-5-bluetooth-call-smart-watch-2-01inch-hd-display-fitness-watch-300-mah-scratch-resistant-anti-explosion-tempered-glass-screen-with-100-sports-modes-blood-oxygen-heart-rate-monitor-waterproof-light-chrome-black/N70106538V/p/?o=faf12a9151cccd3a,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Freebuds Se 2 In Ear Earphones True Wireless Earbuds 40 Hour Battery Life Ip54 Water And Dust Proof Compact And Comfortable Ceramic White,2200.0,1139.0,1061.0,https://www.noon.com/egypt-en/freebuds-se-2-in-ear-earphones-true-wireless-earbuds-40-hour-battery-life-ip54-water-and-dust-proof-compact-and-comfortable-ceramic-white/N53425582A/p/?o=c986dd01009868ba,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Galaxy A07 Dual Sim Black 6Gb Ram 128Gb 4G Middle East Version,7649.0,7648.0,1.0,https://www.noon.com/egypt-en/galaxy-a07-dual-sim-black-6gb-ram-128gb-4g-middle-east-version/N70213059V/p/?o=a581490b5f28a8da,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",300Mbps Wi Fi Range Extender 2 4Ghz Frequency Up To 300Mbps Signal Rate 2X Internal Antennas 1X Ethernet Port Rj45 Wa850Re White,903.0,765.0,138.0,https://www.noon.com/egypt-en/300mbps-wi-fi-range-extender-2-4ghz-frequency-up-to-300mbps-signal-rate-2x-internal-antennas-1x-ethernet-port-rj45-wa850re-white/N11411335A/p/?o=eb79f6680198adeb,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Hot 60 Pro Dual Sim Sleek Black 8 8Gb Ram 256 Gb 4G Middle East Version,11350.0,11299.0,51.0,https://www.noon.com/egypt-en/hot-60-pro-dual-sim-sleek-black-8-8gb-ram-256-gb-4g-middle-east-version/N70204595V/p/?o=e28df2fd1e185a0f,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Usb C Gan Charger 30W Anker 511 Charger Nano 3 Piq 3 0 Foldable Pps Fast Charger For Iphone 15 15 Pro 14 14 Pro Max 13 Galaxy Ipad Cable Not Included Aurora,899.0,349.0,550.0,https://www.noon.com/egypt-en/usb-c-gan-charger-30w-anker-511-charger-nano-3-piq-3-0-foldable-pps-fast-charger-for-iphone-15-15-pro-14-14-pro-max-13-galaxy-ipad-cable-not-included-aurora/N70012463V/p/?o=b6f5a20d57eb581d,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Energizer Ultimate Power Bank Ue10073P 10 000Mah Capacity 22 5W Fast Charging Pd 3 0 Quick Charge Support Dual Usb Output Portable Compact Design Black,599.0,555.0,44.0,https://www.noon.com/egypt-en/energizer-ultimate-power-bank-ue10073p-10-000mah-capacity-22-5w-fast-charging-pd-3-0-quick-charge-support-dual-usb-output-portable-compact-design-black/N70278616V/p/?o=b9a12ef437ba94de,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",30000 Mah 30000 Mah Power Bank 22 5W Pd Qc3 0 Afc Jr Qp193 Black,1327.0,1272.0,55.0,https://www.noon.com/egypt-en/30000-mah-30000-mah-power-bank-22-5w-pd-qc3-0-afc-jr-qp193-black/N53415951A/p/?o=de9410aaff1ad8dc,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",R50I True Wireless Earbuds 10Mm Drivers With Big Bass 30H Playtime Ipx5 Water Resistant Ai Clear Calls With 2 Mics 22 Preset Eqs Via App Black,1332.0,769.0,563.0,https://www.noon.com/egypt-en/r50i-true-wireless-earbuds-10mm-drivers-with-big-bass-30h-playtime-ipx5-water-resistant-ai-clear-calls-with-2-mics-22-preset-eqs-via-app-black/N53409767A/p/?o=be7def16717fb68e,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Smart Tank 581 Wireless All In One Printer Print Scan Copy Print Up To 6000 Black Or 6000 Color Pages 4A8D4A Grey Black,6817.0,6499.0,318.0,https://www.noon.com/egypt-en/smart-tank-581-wireless-all-in-one-printer-print-scan-copy-print-up-to-6000-black-or-6000-color-pages-4a8d4a-grey-black/N53399135A/p/?o=a2d9d825d6094bdf,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Powerport Iii 20W Cube Usb C Adapter,499.0,317.0,182.0,https://www.noon.com/egypt-en/powerport-iii-20w-cube-usb-c-adapter/N53355498A/p/?o=e3a4731ccc82bc6b,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Freebuds Se 2 In Ear Earphones True Wireless Earbuds 40 Hour Battery Life Ip54 Water And Dust Proof Compact And Comfortable Isle Blue,2200.0,1139.0,1061.0,https://www.noon.com/egypt-en/freebuds-se-2-in-ear-earphones-true-wireless-earbuds-40-hour-battery-life-ip54-water-and-dust-proof-compact-and-comfortable-isle-blue/N53425520A/p/?o=e8e68d847ce8937f,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Fc 26 Standard Edition Ps5 Uae Version Playstation 5 Ps5,2677.0,2499.0,178.0,https://www.noon.com/egypt-en/fc-26-standard-edition-ps5-uae-version-playstation-5-ps5/N70197721V/p/?o=bba490719b4b8b3e,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Watch 6N 1 83 Hd Screen And Ai Generated Faces Anti Scratch Panda Glass Heartrate Monitor And Spo2 Up To 7 Days Usage Time Black,799.0,749.0,50.0,https://www.noon.com/egypt-en/watch-6n-1-83-hd-screen-and-ai-generated-faces-anti-scratch-panda-glass-heartrate-monitor-and-spo2-up-to-7-days-usage-time-black/N70214978V/p/?o=a69d22fa7720631c,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Anker A81E1 310 Usb C To Usb C Cable 3Ft 60W 3A Fast Charging Type C Cable For Samsung Galaxy S23 Ipad Pro 2021 Air 4 Mini 6 Macbook Pro 2020 Switch Usb 2 0 Black,146.0,140.0,6.0,https://www.noon.com/egypt-en/anker-a81e1-310-usb-c-to-usb-c-cable-3ft-60w-3a-fast-charging-type-c-cable-for-samsung-galaxy-s23-ipad-pro-2021-air-4-mini-6-macbook-pro-2020-switch-usb-2-0-black/N70287289V/p/?o=c09d5c46db20db2b,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Freebuds 7I Wireless Bluetooth Earbuds Intelligent Active Noise Cancellation 4 0 Unlimited Spatial Audio Ios And Android Stable Clear Calls Fast Charging Black,3650.0,3550.0,100.0,https://www.noon.com/egypt-en/freebuds-7i-wireless-bluetooth-earbuds-intelligent-active-noise-cancellation-4-0-unlimited-spatial-audio-ios-and-android-stable-clear-calls-fast-charging-black/N70210650V/p/?o=ec1e1e4f72f8be9d,🚨 NOON OFFER
"May 25, 2026 - 09:03 PM",Band 11 Smart Watch Enhanced Sleep Tracking Health Fitness Tracker Up To 14 Day Battery Life Ultra Slim Comfort Wear Ios Android Compatible Online Exclusive Black,2699.0,2256.0,443.0,https://www.noon.com/egypt-en/band-11-smart-watch-enhanced-sleep-tracking-health-fitness-tracker-up-to-14-day-battery-life-ultra-slim-comfort-wear-ios-android-compatible-online-exclusive-black/N70285070V/p/?o=ad315e1eba1bb62b,🚨 NOON OFFER
